name_2,name_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,name_3_clean,jakarta_region,rainfall_soil_interaction,elevation_risk,vegetation_elevation_risk,extreme_weather,monsoon_season,urban_density_risk
jakarta barat,tamansari,85.52,142.892,39.42,6.894,Tree cover,0.091,0.061,37.605,2020,1,0,-6.1481,106.8184,RGB_Tamansari2020(2).tif,tamansari,Jakarta Barat,5373.453659999999,0.12667848999239928,0.11515074740309095,1,1,5.645962732919255
jakarta barat,tambora,81.779,136.746,39.42,5.895,Built-up,0.105,0.048,37.605,2020,1,0,-6.1475,106.8035,RGB_Tambora2020.tif,tambora,Jakarta Barat,5142.3333299999995,0.14503263234227703,0.12980420594633796,1,1,6.0472972972972965
jakarta utara,cilincing,72.217,105.177,38.27,3.19,Built-up,0.237,0.068,37.605,2020,1,0,-6.1243,106.9421,RGB_Cilincing2020.tif,cilincing,Jakarta Utara,3955.1810849999997,0.23866348448687355,0.18210023866348451,0,1,4.541666666666666
jakarta utara,kelapagading,72.509,112.714,38.27,5.514,Built-up,0.155,0.062,37.605,2020,1,1,-6.161,106.9037,RGB_KelapaGading2020.tif,kelapagading,Jakarta Utara,4238.6099699999995,0.15351550506601166,0.12972060178077985,1,1,5.216049382716049
jakarta utara,koja,73.291,108.322,38.27,3.739,Built-up,0.148,0.063,37.605,2020,1,0,-6.1215,106.905,RGB_Koja2020.tif,koja,Jakarta Utara,4073.44881,0.21101498206372654,0.17978476471829502,1,1,5.226993865030675
jakarta utara,pademangan,85.351,137.337,38.27,3.198,Built-up,0.183,0.104,37.605,2020,1,0,-6.1301,106.8381,RGB_Pademangan2020.tif,pademangan,Jakarta Utara,5164.557884999999,0.23820867079561694,0.19461648404001902,1,1,4.004901960784313
jakarta utara,penjaringan,73.338,120.98,38.27,3.083,Built-up,0.182,0.074,37.55,2020,1,0,-6.115,106.7639,RGB_Penjaringan2020.tif,penjaringan,Jakarta Utara,4542.799,0.24491795248591722,0.2003428851334803,1,1,4.701149425287357
jakarta utara,tanjungpriok,72.868,113.187,38.27,4.06,Built-up,0.138,0.101,37.605,2020,1,1,-6.1319,106.875,RGB_TanjungPriok2020.tif,tanjungpriok,Jakarta Utara,4256.397134999999,0.19762845849802374,0.17035573122529646,1,1,4.288557213930348
jakarta selatan,cilandak,64.09,100.388,39.11,37.329,Built-up,0.232,0.193,40.561,2020,1,1,-6.2927,106.7933,RGB_Cilandak2020.tif,cilandak,Jakarta Selatan,4071.837668,0.026089905815440007,0.020037047666257926,0,1,2.621160409556314
jakarta selatan,jagakarsa,65.335,98.661,39.11,57.304,Built-up,0.268,0.27,40.561,2020,1,0,-6.334,106.8224,RGB_Jagakarsa2020.tif,jagakarsa,Jakarta Selatan,4001.788821,0.017151481888035124,0.01255488474204171,0,1,1.9783783783783784
jakarta selatan,kebayoranbaru,66.954,107.513,39.11,22.272,Built-up,0.247,0.16,38.506,2020,1,1,-6.2447,106.8014,RGB_KebayoranBaru2020.tif,kebayoranbaru,Jakarta Selatan,4139.895578000001,0.042970092815400485,0.03235647988999656,1,1,2.896153846153846
jakarta selatan,kebayoranlama,65.282,103.704,39.11,25.395,Built-up,0.224,0.143,39.143,2020,1,0,-6.2495,106.7801,RGB_KebayoranLama2020.tif,kebayoranlama,Jakarta Selatan,4059.285672,0.03788596325061565,0.029399507482477744,0,1,3.1934156378600824
jakarta selatan,mampangprapatan,66.993,108.089,39.11,21.604,Built-up,0.232,0.146,38.95,2020,1,1,-6.2523,106.821,RGB_MampangPrapatan2020.tif,mampangprapatan,Jakarta Selatan,4210.0665500000005,0.04423995752964077,0.03397628738276411,1,1,3.1219512195121952
jakarta selatan,pancoran,66.467,101.626,39.11,25.372,Built-up,0.17,0.19,39.521,2020,1,1,-6.2553,106.8436,RGB_Pancoran2020.tif,pancoran,Jakarta Selatan,4016.361146,0.03791900500530866,0.03147277415440619,0,1,2.862068965517241
jakarta selatan,pasarminggu,65.287,101.136,39.11,35.89,Built-up,0.228,0.23,40.561,2020,1,1,-6.2908,106.8293,RGB_PasarMinggu2020.tif,pasarminggu,Jakarta Selatan,4102.177296,0.027107617240444564,0.020927080509623205,0,1,2.3393939393939394
jakarta selatan,pesanggrahan,65.549,104.584,39.11,23.82,Built-up,0.274,0.178,38.896,2020,1,1,-6.2504,106.7587,RGB_Pesanggrahan2020.tif,pesanggrahan,Jakarta Selatan,4067.899264,0.040290088638195005,0.029250604351329573,0,1,2.6115107913669062
jakarta selatan,setiabudi,68.621,110.599,39.11,17.99,Built-up,0.138,0.133,37.605,2020,1,1,-6.2196,106.83,RGB_Setiabudi2020.tif,setiabudi,Jakarta Selatan,4159.075395,0.05265929436545551,0.04539231174302265,1,1,3.6995708154506435
jakarta selatan,tebet,69.633,106.878,39.11,17.948,Built-up,0.127,0.137,37.605,2020,1,1,-6.2289,106.8509,RGB_Tebet2020.tif,tebet,Jakarta Selatan,4019.1471899999997,0.05277601857715854,0.046073464217859406,0,1,3.683544303797468
jakarta timur,cakung,69.922,103.328,39.33,7.969,Built-up,0.196,0.102,37.605,2020,1,0,-6.1885,106.9409,RGB_Cakung2020.tif,cakung,Jakarta Timur,3885.6494399999997,0.11149514996097669,0.08964210056862526,0,1,3.98019801980198
jakarta timur,cipayung,63.847,89.781,39.33,48.413,Built-up,0.36,0.257,40.561,2020,1,0,-6.4297,106.8028,RGB_Cipayung_2020(1).tif,cipayung,Jakarta Timur,3641.6071410000004,0.02023758929836278,0.012952057150952179,0,1,1.792717086834734
jakarta timur,ciracas,63.696,89.865,39.33,53.48,Built-up,0.27,0.263,40.561,2020,1,1,-6.3339,106.8784,RGB_Ciracas2020.tif,ciracas,Jakarta Timur,3645.014265,0.018355359765051395,0.013399412628487518,0,1,2.0110192837465566
jakarta timur,durensawit,69.026,99.071,39.33,16.888,Built-up,0.211,0.139,37.645,2020,1,1,-6.2325,106.9206,RGB_DurenSawit2020.tif,durensawit,Jakarta Timur,3729.5277950000004,0.05590339892665473,0.044107781753130584,0,1,3.301255230125523
jakarta timur,jatinegara,70.0,105.527,39.33,18.159,Built-up,0.16,0.126,37.605,2020,1,1,-6.2273,106.8774,RGB_Jatinegara2020.tif,jatinegara,Jakarta Timur,3968.342835,0.05219479095986221,0.043843624406284254,0,1,3.716814159292035
jakarta timur,kramatjati,64.974,88.081,39.33,30.295,Built-up,0.193,0.152,40.289,2020,1,1,-6.2763,106.8654,RGB_Cakung2020.tif,kramatjati,Jakarta Timur,3548.6954090000004,0.031953986259785905,0.02578686691164722,0,1,3.202380952380952
jakarta timur,makasar,65.838,91.093,39.33,25.658,Built-up,0.266,0.16,39.917,2020,1,1,-6.2663,106.8911,RGB_Makasar2020.tif,makasar,Jakarta Timur,3636.159281,0.037512191462225224,0.027533948533273313,0,1,2.823076923076923
