Feature,SHAP_Importance,Rank
year,1.3780546,8
elevation,1.0644611,4
avg_rainfall,0.89340335,1
long,0.70420074,11
lat,0.63233286,10
month,0.59564424,9
ndvi,0.4961649,5
soil_moisture,0.45452356,7
avg_temperature,0.42372975,3
rainfall_soil_interaction,0.417807,12
max_rainfall,0.3341328,2
elevation_risk,0.28855363,13
slope,0.22403073,6
urban_density_risk,0.17518336,17
vegetation_elevation_risk,0.17289679,14
monsoon_season,0.14914784,16
extreme_weather,0.004976345,15
