Threshold,Precision,Recall,F1_Score,ROC_AUC
0.1,0.5675675675675675,0.75,0.6461538461538462,0.9452493261455525
0.11,0.5753424657534246,0.75,0.6511627906976745,0.9452493261455525
0.12,0.5833333333333334,0.75,0.65625,0.9452493261455525
0.13,0.6086956521739131,0.75,0.672,0.9452493261455525
0.13999999999999999,0.6119402985074627,0.7321428571428571,0.6666666666666666,0.9452493261455525
0.14999999999999997,0.6119402985074627,0.7321428571428571,0.6666666666666666,0.9452493261455525
0.15999999999999998,0.6212121212121212,0.7321428571428571,0.6721311475409836,0.9452493261455525
0.16999999999999998,0.6212121212121212,0.7321428571428571,0.6721311475409836,0.9452493261455525
0.17999999999999997,0.6307692307692307,0.7321428571428571,0.6776859504132231,0.9452493261455525
0.18999999999999995,0.6307692307692307,0.7321428571428571,0.6776859504132231,0.9452493261455525
0.19999999999999996,0.640625,0.7321428571428571,0.6833333333333333,0.9452493261455525
0.20999999999999996,0.640625,0.7321428571428571,0.6833333333333333,0.9452493261455525
0.21999999999999995,0.6507936507936508,0.7321428571428571,0.6890756302521008,0.9452493261455525
0.22999999999999995,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.23999999999999994,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.24999999999999992,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.2599999999999999,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.2699999999999999,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.2799999999999999,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.2899999999999999,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.29999999999999993,0.6721311475409836,0.7321428571428571,0.7008547008547008,0.9452493261455525
0.30999999999999994,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.9452493261455525
0.3199999999999999,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.9452493261455525
0.32999999999999985,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.9452493261455525
0.33999999999999986,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.9452493261455525
0.34999999999999987,0.6833333333333333,0.7321428571428571,0.7068965517241379,0.9452493261455525
0.3599999999999999,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
0.3699999999999999,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
0.3799999999999999,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
0.3899999999999999,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
0.3999999999999998,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
0.4099999999999998,0.6949152542372882,0.7321428571428571,0.7130434782608696,0.9452493261455525
