id,kode_stasiun,nama,lokasi,sort_number,siaga1,siaga2,siaga3,siaga4,latitude,longitude,file_export,record_status,created_date,created_by,last_updated_date,last_updated_by,tanggal,tinggi_air,tinggi_air_sebelumnya,status,tma_unaltered,coor_x,coor_y
191,57,Jembatan Kuning Cikambangan,Ciliwung,34,5000,5000,5000,1,-6.427713,106.814505,Depok,1,,1,2025-11-27T09:26:16.537+07:00,0,2026-05-17T00:10:00+07:00,290,304,Status : Normal,298,,
192,58,Jembatan Jalan Raya Tapos,Kali Sunter,35,5000,5000,5000,1,-6.404388,106.888737,Depok,1,,1,2025-11-27T09:26:28.28+07:00,0,2026-05-17T00:10:00+07:00,380,386,Status : Normal,386,,
193,59,Jembatan MT. Haryono,Ciliwung,36,5000,5000,5000,1,-6.24379,106.86265,Jakarta Timur,1,,1,2025-11-27T09:26:45.527+07:00,0,2026-05-17T00:10:00+07:00,960,924,Status : Normal,966,,
194,60,Rumah Pompa Tipala,Cipinang,37,5000,5000,5000,1,-6.27708,106.87985,Jakarta Timur,1,,1,2025-11-27T09:34:49.83+07:00,27,2026-05-17T00:10:00+07:00,440,448,Status : Normal,449,,
195,61,Taman Jati Cimel,Sunter,38,5000,5000,5000,1,-6.25683900,106.9050277,Jakarta Timur,1,,1,2025-11-27T09:27:40.473+07:00,0,2026-05-17T00:10:00+07:00,290,292,Status : Normal,291,,
197,63,Jembatan Jl. L. Malahayati,Ciliwung,39,5000,5000,5000,1,-6.23959,106.87893,Jakarta Timur,1,,1,2026-01-12T07:49:15.223+07:00,59,2026-05-17T00:10:00+07:00,500,502,Status : Normal,502,,
196,62,Waduk Kaja Ciracas,Cipinang,40,5000,5000,5000,1,-6.32847,106.88053,Jakarta Timur,1,,1,2025-11-27T09:28:25.61+07:00,0,2026-05-17T00:10:00+07:00,170,172,Status : Normal,171,,
198,64,Jembatan Kali Krukut,Kali Krukut,41,5000,5000,5000,1,-6.36624,106.79441,Depok,1,,1,2025-11-27T09:28:45.307+07:00,0,2026-05-17T00:10:00+07:00,570,579,Status : Normal,578,,
199,65,Rumah Pompa Kemang 2,Kali Krukut,42,5000,5000,5000,1,-6.25517,106.808577,Jakarta Selatan,1,,1,2025-11-27T09:29:02.277+07:00,0,2026-05-17T00:10:00+07:00,610,570,Status : Normal,618,,
200,66,Rumah Pompa Atma Jaya,Kali Krukut,43,5000,5000,5000,1,-6.216418,106.816838,Jakarta Selatan,1,,1,2025-11-27T09:29:54.363+07:00,0,2026-05-17T00:10:00+07:00,1260,1263,Status : Normal,1260,,
201,67,Posko SDA Palmerah,Kali Grogol,44,5000,5000,5000,1,-6.19685,106.79354,Jakarta Barat,1,,1,2025-11-27T09:29:45.537+07:00,0,2026-05-17T00:10:00+07:00,710,722,Status : Normal,718,,
